Date,Open,High,Low,Close,Volume
02-06-2014,229,230.3,224.05,226.15,2341446
03-06-2014,227.6,241.8,226.65,240.3,6583611
04-06-2014,241.85,245.35,237.8,243.85,4530747
05-06-2014,244.5,245,236.4,241.65,5542042
06-06-2014,243.85,260.4,242,257.65,8606900
09-06-2014,259,261.8,252.3,254,4765315
10-06-2014,255.7,255.7,242.7,246.05,5125196
11-06-2014,247.4,251,235.5,238.2,6632454
12-06-2014,239,242.1,233.1,236.95,2751243
13-06-2014,237.95,246.55,223.55,230.6,5345562
16-06-2014,229.95,230,219.65,228.1,3233252
17-06-2014,227.9,236.6,226.4,236.1,3338397
18-06-2014,235,239.3,228.85,231.05,2415067
19-06-2014,231,234.35,224.6,225.95,2672876
20-06-2014,224.45,236,223.1,232.6,3228673
23-06-2014,233.95,239.2,233.6,237,2865754
24-06-2014,239.3,243.5,235.5,238,3569302
25-06-2014,238.95,241.2,235.65,237.15,1943671
26-06-2014,238,238.9,232.65,234.55,1801189
27-06-2014,235,236,230.5,231.4,3496814
30-06-2014,232,244.9,231.75,243.7,3695817
01-07-2014,245.45,247.3,242.7,244.2,1969294
02-07-2014,245.95,279.4,245.9,271.25,29796852
03-07-2014,271.9,276.35,267.8,270.4,10025759
04-07-2014,271.4,277.5,269.4,275.55,7514461
07-07-2014,277.85,282.6,248,280.7,10604584
08-07-2014,281.5,281.5,253.6,258.45,5348048
09-07-2014,258,272.65,249.35,264.9,7271247
10-07-2014,267.25,285.4,252.35,270.3,9128261
11-07-2014,273,279.9,244.6,248.7,7391100
14-07-2014,249.8,255.3,246.85,252.8,3749117
15-07-2014,254.8,264.25,254.6,262.95,4753216
16-07-2014,264.1,285.4,263,281,6760956
17-07-2014,285,289.65,282.55,285.65,6726603
18-07-2014,283.75,293.4,275.55,288.3,8919945
21-07-2014,290,293.85,286.1,288.1,4470445
22-07-2014,288.7,289.9,282.15,284.8,3096008
23-07-2014,285.05,287.5,277.15,279.8,3814814
24-07-2014,280.15,282.65,271.65,275.7,3952702
25-07-2014,272.9,276,263.05,268.05,5432866
28-07-2014,267.75,277.75,264.75,266,5082312
30-07-2014,267,268.3,259.15,263.65,6091746
31-07-2014,262.05,265.5,259.45,260.55,7890098
01-08-2014,257.35,263.25,255.6,259.25,6097901
04-08-2014,260.05,266.4,258.5,265.45,4251061
05-08-2014,264.6,269.65,262.5,265.8,5848392
06-08-2014,265.85,275.75,265.1,268.5,6978210
07-08-2014,269.9,273,263.65,266.15,3496953
08-08-2014,262,263.9,258.3,262.1,4238796
11-08-2014,265.6,272.25,265,270,4305779
12-08-2014,273,274.95,270.1,271.35,3262251
13-08-2014,270.25,275.25,265.7,274.4,3863196
